Device ,Function Group ,Function name ,ZONE ,Code(ID1) ,Code(ID2) ,"Comment (U: USA model, C: Canada model, T: China model, J: Japan model) "
AMP ,POW ER ,POWER ON/STANDBY ,MAIN ,7E-2A ,7E-2AD4 ,
,,SLEEP ,ALL ,7A-30 ,7A-30CE ,
,INPUT ,HDMI- 1 ,MAIN ,7A-4738 ,7A-4739 ,
,,HDMI- 2 ,MAIN ,7A-4A35 ,7A-4A34 ,
,,HDMI- 3 ,MAIN ,7A-4D32 ,7A-4D33 ,
,,HDMI- 4 ,MAIN ,7A-502F ,7A-502E ,
,,AV- 1 ,MAIN ,7A-532C ,7A-532D ,
,,AV- 2 ,MAIN ,7A-5629 ,7A-5628 ,
,,AV- 3 ,MAIN ,7A-5926 ,7A-5927 ,
,,AV- 4 ,MAIN ,7A-5C23 ,7A-5C22 ,
,,AV- 5 ,MAIN ,7A-5F20 ,7A-5F21 ,
,,AUDIO- 1 ,MAIN ,7A-651A ,7A-651B ,
,,AUDIO- 2 ,MAIN ,7A-6817 ,7A-6816 ,
,,V-AUX ,MAIN ,7A-55 ,7A-55AB ,
,,DOCK ,MAIN ,7F01-4A ,7F01-4AB4 ,except T 
,,TUNER ,MAIN ,7A-16 ,7A-16E8 ,
,SCENE ,BD/DVD ,MAIN ,7A-007F ,7A-007E ,
,,TV ,MAIN ,7A-037C ,7A-037D ,
,,CD ,MAIN ,7A-0679 ,7A-0678 ,
,,RADIO ,MAIN ,7A-0976 ,7A-0977 ,
,PROGRAM ,MOVIE ,- ,7A-88 ,7A-8876 ,
,,MUSIC ,- ,7A-89 ,7A-8977 ,
,,STEREO/ENHANCER ,- ,7A-94 ,7A-946A ,
,,SUR.DECODE ,- ,7A-8D ,7A-8D73 ,
,,STRAIGHT ,- ,7A-56 ,7A-56A8 ,
,VOLUME ,VOLUME + ,MAIN ,7A-1A ,7A-1AE4 ,
,,VOLUME - ,MAIN ,7A-1B ,7A-1BE5 ,
,,MUTE ,MAIN ,7A-1C ,7A-1CE2 ,
,MENU ,UP ,MAIN ,7A-9D ,7A-9D63 ,
,,LEFT ,MAIN ,7A-9F ,7A-9F61 ,
,,ENTER ,MAIN ,7A-DE ,7A-DE20 ,
,,RIGHT ,MAIN ,7A-9E ,7A-9E60 ,
,,DOW N ,MAIN ,7A-9C ,7A-9C62 ,
,,RETURN ,MAIN ,7A-AA ,7A-AA54 ,
,DISPLAY ,DISPLAY ,MAIN ,7F01-60 ,7F01-609E ,
,,SETUP ,MAIN ,7A-84 ,7A-847A ,
,,OPTION ,MAIN ,7A-6B14 ,7A-6B15 ,
SOURCE ,OPERATION ,FM ,MAIN ,7F01-5827 ,7F01-5826 ,TUNER 
,,AM ,MAIN ,7F01-552A ,7F01-552B ,TUNER 
,,PRESET > ,MAIN ,7F01-5B24 ,7F01-5B25 ,TUNER 
,,TUNING >> ,MAIN ,7F01-611E ,7F01-611F ,TUNER 
,,PRESET < ,MAIN ,7F01-5E21 ,7F01-5E20 ,TUNER 
,,TUNING << ,MAIN ,7F01-641B ,7F01-641A ,TUNER 
,DISPLAY ,INFO ,MAIN ,7A-2758 ,7A-2759 ,
,MEMORY ,MEMORY ,MAIN ,7F01-6718 ,7F01-6719 ,
TUNER ,NUMBER/CHARACTER ,1,- ,7A-E5 ,7A-E51B ,
,,2,- ,7A-E6 ,7A-E618 ,
,,3,- ,7A-E7 ,7A-E719 ,
,,4,- ,7A-E8 ,7A-E816 ,
,,5,- ,7A-E9 ,7A-E917 ,
,,6,- ,7A-EA ,7A-EA14 ,
,,7,- ,7A-EB ,7A-EB15 ,
,,8,- ,7A-EC ,7A-EC12 ,
,,9,- ,7A-B1 ,7A-B14F ,
,,0,- ,7A-B2 ,7A-B24C ,
,,ENT ,- ,7A-B3 ,7A-B34D ,
DOCK ,MENU ,UP ,- ,7F01-0E ,7F01-0EF0 ,
,,LEFT ,- ,7F01-10 ,7F01-10EE ,
,,ENTER ,- ,7F01-11 ,7F01-11EF ,
,,RIGHT ,- ,7F01-12 ,7F01-12EC ,
,,DOW N ,- ,7F01-14 ,7F01-14EA ,
,OPERATION ,STOP ,- ,7F01-1D ,7F01-1DE3 ,
,,PAUSE ,- ,7F01-1A ,7F01-1AE4 ,
,,PLAY ,- ,7F01-1E ,7F01-1EE0 ,
,,REW ,- ,7F01-17 ,7F01-17E9 ,
,,FF ,- ,7F01-18 ,7F01-18E6 ,
,,SKIP - ,- ,7F01-1B ,7F01-1BE5 ,
,,SKIP + ,- ,7F01-1C ,7F01-1CE2 ,
,DISPLAY ,DISPLAY ,- ,7F01-15 ,7F01-15EB ,